,move_st_hr,move_arv_hr,start_place_cd,arv_place_cd,sex_nm,age_grp,popl_cnt
132,2019-09-30 14:00:00,2019-10-01 05:00:00,111601,330053,F,40,3.44
133,2019-09-30 14:00:00,2019-10-01 08:00:00,260297,110067,M,60,4.11
134,2019-09-30 14:00:00,2019-10-01 10:00:00,250180,110665,M,50,3.31
135,2019-09-30 14:00:00,2019-10-01 10:00:00,111076,320990,M,40,3.16
136,2019-09-30 14:00:00,2019-10-01 12:00:00,110086,330742,F,20,2.03
137,2019-09-30 14:00:00,2019-10-01 14:00:00,250258,110917,F,20,2.06
138,2019-09-30 15:00:00,2019-10-01 00:00:00,110035,311335,M,30,2.75
139,2019-09-30 15:00:00,2019-10-01 00:00:00,110354,312086,M,40,3.18
140,2019-09-30 15:00:00,2019-10-01 00:00:00,110859,110870,M,20,2.7
141,2019-09-30 15:00:00,2019-10-01 00:00:00,111214,110982,F,30,2.39
142,2019-09-30 15:00:00,2019-10-01 00:00:00,111292,111536,F,50,3.24
143,2019-09-30 15:00:00,2019-10-01 00:00:00,111558,110945,M,40,3.19
144,2019-09-30 15:00:00,2019-10-01 00:00:00,111575,110872,M,20,2.28
145,2019-09-30 15:00:00,2019-10-01 00:00:00,111689,310214,F,40,3.35
146,2019-09-30 15:00:00,2019-10-01 00:00:00,111690,111597,M,60,3.52
147,2019-09-30 15:00:00,2019-10-01 00:00:00,250093,110191,M,20,2.28
148,2019-09-30 15:00:00,2019-10-01 00:00:00,310417,111304,F,30,2.38
149,2019-09-30 15:00:00,2019-10-01 00:00:00,310980,110491,M,60,4.09
150,2019-09-30 15:00:00,2019-10-01 00:00:00,110700,110583,F,50,3.14
151,2019-09-30 15:00:00,2019-10-01 00:00:00,110853,310529,M,40,3.18
152,2019-09-30 15:00:00,2019-10-01 00:00:00,110911,110136,M,40,3.18
153,2019-09-30 15:00:00,2019-10-01 00:00:00,111536,110372,F,20,2.07
154,2019-09-30 15:00:00,2019-10-01 00:00:00,110491,110981,M,20,2.28
155,2019-09-30 15:00:00,2019-10-01 00:00:00,110546,110517,F,40,3.33
156,2019-09-30 15:00:00,2019-10-01 00:00:00,111434,310102,M,10,4.52
157,2019-09-30 15:00:00,2019-10-01 01:00:00,110071,110155,F,20,2.18
158,2019-09-30 15:00:00,2019-10-01 01:00:00,111037,390361,F,20,2.06
159,2019-09-30 15:00:00,2019-10-01 01:00:00,111667,111646,M,50,3.28
160,2019-09-30 15:00:00,2019-10-01 04:00:00,311982,110624,M,30,2.73
161,2019-09-30 15:00:00,2019-10-01 09:00:00,330344,110827,M,50,3.27
162,2019-09-30 15:00:00,2019-10-01 09:00:00,390179,111141,M,30,2.35
163,2019-09-30 15:00:00,2019-10-01 10:00:00,111083,340608,F,40,3.31
164,2019-09-30 15:00:00,2019-10-01 10:00:00,330358,111191,M,30,2.73
165,2019-09-30 15:00:00,2019-10-01 10:00:00,111079,330040,F,30,2.43
166,2019-09-30 15:00:00,2019-10-01 10:00:00,312114,110524,M,30,2.38
167,2019-09-30 15:00:00,2019-10-01 11:00:00,111616,260144,M,40,3.0
168,2019-09-30 15:00:00,2019-10-01 11:00:00,110449,312843,M,30,2.7
169,2019-09-30 15:00:00,2019-10-01 11:00:00,110680,290105,M,50,3.29
170,2019-09-30 15:00:00,2019-10-01 11:00:00,340185,111710,M,60,3.51
171,2019-09-30 15:00:00,2019-10-01 14:00:00,370209,111616,M,30,2.73
172,2019-09-30 15:00:00,2019-10-01 00:00:00,111421,311112,M,50,3.35
173,2019-09-30 15:00:00,2019-10-01 00:00:00,360554,111078,F,20,2.04
174,2019-09-30 15:00:00,2019-10-01 00:00:00,110856,110797,M,20,2.28
175,2019-09-30 15:00:00,2019-10-01 00:00:00,111540,350026,F,10,4.07
176,2019-09-30 15:00:00,2019-10-01 00:00:00,111535,111352,M,30,2.35
177,2019-09-30 15:00:00,2019-10-01 01:00:00,110067,111269,M,70,4.57
178,2019-09-30 15:00:00,2019-10-01 01:00:00,110175,110173,M,20,2.68
179,2019-09-30 15:00:00,2019-10-01 01:00:00,110175,111725,F,20,2.19
180,2019-09-30 15:00:00,2019-10-01 01:00:00,110494,110437,F,10,5.96
181,2019-09-30 15:00:00,2019-10-01 01:00:00,110698,110630,M,50,3.28
182,2019-09-30 15:00:00,2019-10-01 01:00:00,110826,311148,M,60,4.08
183,2019-09-30 15:00:00,2019-10-01 01:00:00,110894,311151,F,20,2.06
184,2019-09-30 15:00:00,2019-10-01 01:00:00,111471,360446,F,20,2.04
185,2019-09-30 15:00:00,2019-10-01 01:00:00,111527,111546,M,30,2.37
186,2019-09-30 15:00:00,2019-10-01 01:00:00,110283,111764,M,60,4.06
187,2019-09-30 15:00:00,2019-10-01 01:00:00,110431,110518,F,60,4.69
188,2019-09-30 15:00:00,2019-10-01 02:00:00,111384,341495,M,20,2.26
189,2019-09-30 15:00:00,2019-10-01 03:00:00,111197,371845,M,40,3.19
190,2019-09-30 15:00:00,2019-10-01 04:00:00,111453,320879,M,40,3.21
191,2019-09-30 15:00:00,2019-10-01 05:00:00,111801,341548,M,20,2.27
192,2019-09-30 15:00:00,2019-10-01 05:00:00,110903,230027,M,40,3.01
193,2019-09-30 15:00:00,2019-10-01 06:00:00,310719,110093,M,60,3.51
194,2019-09-30 15:00:00,2019-10-01 06:00:00,111030,313054,M,50,3.3
195,2019-09-30 15:00:00,2019-10-01 08:00:00,111037,390155,M,40,2.96
196,2019-09-30 15:00:00,2019-10-01 08:00:00,210438,111534,M,30,2.74
197,2019-09-30 15:00:00,2019-10-01 08:00:00,340337,110917,M,60,4.06
198,2019-09-30 15:00:00,2019-10-01 08:00:00,110190,320065,M,20,2.65
199,2019-09-30 15:00:00,2019-10-01 09:00:00,111284,390179,F,50,3.14
200,2019-09-30 15:00:00,2019-10-01 09:00:00,320507,111749,F,40,3.43
201,2019-09-30 15:00:00,2019-10-01 09:00:00,330576,111141,M,30,2.37
202,2019-09-30 15:00:00,2019-10-01 09:00:00,371077,110888,M,70,4.63
203,2019-09-30 15:00:00,2019-10-01 10:00:00,111261,250343,M,30,2.37
204,2019-09-30 15:00:00,2019-10-01 11:00:00,110541,371097,M,70,4.65
205,2019-09-30 15:00:00,2019-10-01 12:00:00,110912,250254,F,30,2.42
206,2019-09-30 15:00:00,2019-10-01 12:00:00,330773,111187,M,40,3.17
207,2019-09-30 15:00:00,2019-10-01 13:00:00,110957,340116,M,50,3.31
208,2019-09-30 15:00:00,2019-10-01 13:00:00,340114,110733,F,40,3.33
209,2019-09-30 15:00:00,2019-10-01 13:00:00,110727,320243,M,30,2.73
